sir, where do you live?	جناب، آپ کہاں رہتے ہیں؟
sir, call a taxi	جناب، ٹیکسی بلائیں
sir, madam, can you help?	جناب، محترمہ، کیا آپ مدد کر سکتی ہیں؟
kindly kindly guide me	مہربانی فرما کر رہنمائی کریں
please continue straight	براہ کرم سیدھے جاتے رہیں
show me the way	راستہ بتائیں
continue straight	سیدھے جاتے رہیں
thank you very much	بہت شکریہ
madam, what do you want?	محترمہ، آپ کیا چاہتے ہیں؟
market?	بازار؟
i don't know	مجھے نہیں معلوم
kindly i am fine	مہربانی فرما کر میں ٹھیک ہوں
electricity is gone	بجلی چلی گئی ہے
kindly stop here	مہربانی فرما کر یہاں روکیں
sir, i am sad	جناب، میں اداس ہوں
sir, how can i go there?	جناب، میں وہاں کیسے جا سکتا ہوں؟
madam, do you speak urdu?	محترمہ، کیا آپ اردو بولتے ہیں؟
please good evening	براہ کرم شام بخیر
kindly i am happy	مہربانی فرما کر میں خوش ہوں
please	براہ کرم
kindly assalam o alaikum	مہربانی فرما کر السلام علیکم
sir, where is the bus stop?	جناب، بس اسٹاپ کہاں ہے؟
please where is the taxi stand?	براہ کرم ٹیکسی اسٹینڈ کہاں ہے؟
madam, madam, can you help?	محترمہ، محترمہ، کیا آپ مدد کر سکتی ہیں؟
water?	پانی؟
sir, stop here	جناب، یہاں روکیں
madam, i like cricket	محترمہ، مجھے کرکٹ پسند ہے
is there free wifi?	کیا مفت وائی فائی ہے؟
madam, good evening	محترمہ، شام بخیر
please assalam o alaikum	براہ کرم السلام علیکم
sir, i don't know	جناب، مجھے نہیں معلوم
kindly i am happy	مہربانی فرما کر میں خوش ہوں
kindly go straight	مہربانی فرما کر سیدھا جائیں
why is it expensive?	یہ مہنگا کیوں ہے؟
sir, good night	جناب، شب بخیر
please where is the taxi stand?	براہ کرم ٹیکسی اسٹینڈ کہاں ہے؟
please where can i find the market?	براہ کرم بازار کہاں ملے گا؟
sir, who are you?	جناب، آپ کون ہیں؟
madam, excuse me	محترمہ، معاف کیجیے گا
please how much is this?	براہ کرم یہ کتنے کا ہے؟
kindly what is your name?	مہربانی فرما کر آپ کا نام کیا ہے؟
madam, that's great	محترمہ، یہ بہت اچھا ہے
kindly i am fine	مہربانی فرما کر میں ٹھیک ہوں
please stop here	براہ کرم یہاں روکیں
kindly go straight	مہربانی فرما کر سیدھا جائیں
sir, no problem	جناب، کوئی مسئلہ نہیں
please karachi traffic is bad	براہ کرم کراچی میں ٹریفک خراب ہے
lahore?	لاہور؟
kindly how much is the ticket?	مہربانی فرما کر ٹکٹ کتنے کا ہے؟
maybe	شاید
karachi?	کراچی؟
madam, kindly guide me	محترمہ، رہنمائی کریں
sir, good morning	جناب، صبح بخیر
lahore food is amazing	لاہور کا کھانا لاجواب ہے
kindly guide me	مہربانی فرما کر رہنمائی کریں
madam, lahore food is amazing	محترمہ، لاہور کا کھانا لاجواب ہے
madam, can you help me?	محترمہ، کیا آپ میری مدد کر سکتے ہیں؟
madam, slow down	محترمہ، آہستہ چلیں
madam, i am busy	محترمہ، میں مصروف ہوں
madam, slow down	محترمہ، آہستہ چلیں
sir, what time is it?	جناب، کیا وقت ہوا ہے؟
load shedding is happening	لوڈ شیڈنگ ہو رہی ہے
madam, what is this?	محترمہ، یہ کیا ہے؟
sir, slow down	جناب، آہستہ چلیں
kindly how much is the ticket?	مہربانی فرما کر ٹکٹ کتنے کا ہے؟
see you later	پھر ملیں گے
madam, do you speak urdu?	محترمہ، کیا آپ اردو بولتے ہیں؟
market?	بازار؟
madam, take care	محترمہ، اپنا خیال رکھنا
madam, sir, can you help?	محترمہ، جناب، کیا آپ مدد کر سکتے ہیں؟
kindly where can i find the market?	مہربانی فرما کر بازار کہاں ملے گا؟
please how are you?	براہ کرم آپ کیسے ہیں؟
please turn right	براہ کرم دائیں مڑیں
kindly why is it expensive?	مہربانی فرما کر یہ مہنگا کیوں ہے؟
sir, turn left	جناب، بائیں مڑیں
no problem	کوئی مسئلہ نہیں
please call a taxi	براہ کرم ٹیکسی بلائیں
madam, i am tired	محترمہ، میں تھک گیا ہوں
good night	شب بخیر
water?	پانی؟
sir, i like cricket	جناب، مجھے کرکٹ پسند ہے
madam, i am happy	محترمہ، میں خوش ہوں
sir, take care	جناب، اپنا خیال رکھنا
sir, what time is it?	جناب، کیا وقت ہوا ہے؟
sir, how are you?	جناب، آپ کیسے ہیں؟
madam, can you help me?	محترمہ، کیا آپ میری مدد کر سکتے ہیں؟
show me the way	راستہ بتائیں
madam, turn left	محترمہ، بائیں مڑیں
that's great	یہ بہت اچھا ہے
madam, where do you live?	محترمہ، آپ کہاں رہتے ہیں؟
good morning	صبح بخیر
madam, madam, can you help?	محترمہ، محترمہ، کیا آپ مدد کر سکتی ہیں؟
please i am tired	براہ کرم میں تھک گیا ہوں
sir, where do you live?	جناب، آپ کہاں رہتے ہیں؟
kindly call a taxi	مہربانی فرما کر ٹیکسی بلائیں
madam, well played	محترمہ، اچھا کھیلا
madam, can you help?	محترمہ، کیا آپ مدد کر سکتی ہیں؟
sir, thank you very much	جناب، بہت شکریہ
sir, where can i find the market?	جناب، بازار کہاں ملے گا؟
stop	روکیں
please please speak slowly	براہ کرم آہستہ بولیں
madam, how much is this?	محترمہ، یہ کتنے کا ہے؟
please call a taxi	براہ کرم ٹیکسی بلائیں
karachi?	کراچی؟
please show me the way	براہ کرم راستہ بتائیں
kindly chai please	مہربانی فرما کر چائے چاہیے
sir, i am fine	جناب، میں ٹھیک ہوں
sir, where is the hotel?	جناب، ہوٹل کہاں ہے؟
please see you later	براہ کرم پھر ملیں گے
wait	انتظار کریں
stop here	یہاں روکیں
please can you help me?	براہ کرم کیا آپ میری مدد کر سکتے ہیں؟
please i am fine	براہ کرم میں ٹھیک ہوں
good night	شب بخیر
stop here	یہاں روکیں
kindly i don't know	مہربانی فرما کر مجھے نہیں معلوم
market?	بازار؟
please what time is it?	براہ کرم کیا وقت ہوا ہے؟
please why is it expensive?	براہ کرم یہ مہنگا کیوں ہے؟
please no problem	براہ کرم کوئی مسئلہ نہیں
kindly i am sad	مہربانی فرما کر میں اداس ہوں
please turn right	براہ کرم دائیں مڑیں
kindly that's great	مہربانی فرما کر یہ بہت اچھا ہے
great	بہترین
sir, take care	جناب، اپنا خیال رکھنا
where can i find the market?	بازار کہاں ملے گا؟
great	بہترین
madam, is there free wifi?	محترمہ، کیا مفت وائی فائی ہے؟
i am happy	میں خوش ہوں
market?	بازار؟
hi	ہیلو
kindly thank you very much	مہربانی فرما کر بہت شکریہ
turn left	بائیں مڑیں
kindly continue straight	مہربانی فرما کر سیدھے جاتے رہیں
pakistan won the match	پاکستان نے میچ جیت لیا
please continue straight	براہ کرم سیدھے جاتے رہیں
how much is the ticket?	ٹکٹ کتنے کا ہے؟
stop here	یہاں روکیں
please i am fine	براہ کرم میں ٹھیک ہوں
please i am sad	براہ کرم میں اداس ہوں
sir, see you later	جناب، پھر ملیں گے
kindly pakistan won the match	مہربانی فرما کر پاکستان نے میچ جیت لیا
kindly i am busy	مہربانی فرما کر میں مصروف ہوں
sir, continue straight	جناب، سیدھے جاتے رہیں
what time is it?	کیا وقت ہوا ہے؟
sir, continue straight	جناب، سیدھے جاتے رہیں
please that's great	براہ کرم یہ بہت اچھا ہے
is there free wifi?	کیا مفت وائی فائی ہے؟
kindly sir, can you help?	مہربانی فرما کر جناب، کیا آپ مدد کر سکتے ہیں؟
madam, where is the taxi stand?	محترمہ، ٹیکسی اسٹینڈ کہاں ہے؟
kindly please reduce the price	مہربانی فرما کر قیمت کم کریں
sir, i am fine	جناب، میں ٹھیک ہوں
sir, i love biryani	جناب، مجھے بریانی پسند ہے
please how are you?	براہ کرم آپ کیسے ہیں؟
sir, show me the way	جناب، راستہ بتائیں
sir, how much is the ticket?	جناب، ٹکٹ کتنے کا ہے؟
sir, where is the taxi stand?	جناب، ٹیکسی اسٹینڈ کہاں ہے؟
please show me the way	براہ کرم راستہ بتا دیں
wait	انتظار کریں
madam, good morning	محترمہ، صبح بخیر
please show me the way	براہ کرم راستہ بتائیں
please please reduce the price	براہ کرم قیمت کم کریں
kindly slow down	مہربانی فرما کر آہستہ چلیں
please how much is the ticket?	براہ کرم ٹکٹ کتنے کا ہے؟
sir, thank you very much	جناب، بہت شکریہ
kindly i am sad	مہربانی فرما کر میں اداس ہوں
sir, turn left	جناب، بائیں مڑیں
madam, is there free wifi?	محترمہ، کیا مفت وائی فائی ہے؟
madam, stop here	محترمہ، یہاں روکیں
sir, excuse me	جناب، معاف کیجیے گا
please continue straight	براہ کرم سیدھے جاتے رہیں
kindly where is the hotel?	مہربانی فرما کر ہوٹل کہاں ہے؟
sir, how much is this?	جناب، یہ کتنے کا ہے؟
madam, that's great	محترمہ، یہ بہت اچھا ہے
mosque?	مسجد؟
sir, lahore food is amazing	جناب، لاہور کا کھانا لاجواب ہے
please where do you live?	براہ کرم آپ کہاں رہتے ہیں؟
madam, how much is the ticket?	محترمہ، ٹکٹ کتنے کا ہے؟
kindly take care	مہربانی فرما کر اپنا خیال رکھنا
no	نہیں
continue straight	سیدھے جاتے رہیں
sir, turn left	جناب، بائیں مڑیں
kindly what is this?	مہربانی فرما کر یہ کیا ہے؟
please show me the way	براہ کرم راستہ بتا دیں
thanks	شکریہ
sir, islamabad is beautiful	جناب، اسلام آباد بہت خوبصورت ہے
please thank you very much	براہ کرم بہت شکریہ
sir, what is this?	جناب، یہ کیا ہے؟
sir, no problem	جناب، کوئی مسئلہ نہیں
kindly take care	مہربانی فرما کر اپنا خیال رکھنا
sir, please show me the way	جناب، راستہ بتا دیں
where is the mosque?	مسجد کہاں ہے؟
please that's great	براہ کرم یہ بہت اچھا ہے
kindly see you later	مہربانی فرما کر پھر ملیں گے
madam, turn left	محترمہ، بائیں مڑیں
madam, is there free wifi?	محترمہ، کیا مفت وائی فائی ہے؟
kindly good night	مہربانی فرما کر شب بخیر
please chai please	براہ کرم چائے چاہیے
please no problem	براہ کرم کوئی مسئلہ نہیں
ticket?	ٹکٹ؟
madam, kindly guide me	محترمہ، رہنمائی کریں
how are you?	آپ کیسے ہیں؟
madam, good night	محترمہ، شب بخیر
show me the way	راستہ بتائیں
kindly islamabad is beautiful	مہربانی فرما کر اسلام آباد بہت خوبصورت ہے
please go straight	براہ کرم سیدھا جائیں
please i am busy	براہ کرم میں مصروف ہوں
turn right	دائیں مڑیں
madam, how are you?	محترمہ، آپ کیسے ہیں؟
please load shedding is happening	براہ کرم لوڈ شیڈنگ ہو رہی ہے
what time is it?	کیا وقت ہوا ہے؟
kindly thank you very much	مہربانی فرما کر بہت شکریہ
kindly please reduce the price	مہربانی فرما کر قیمت کم کریں
madam, show me the way	محترمہ، راستہ بتائیں
madam, where is the mosque?	محترمہ، مسجد کہاں ہے؟
assalam o alaikum	السلام علیکم
no	نہیں
ticket?	ٹکٹ؟
please continue straight	براہ کرم سیدھے جاتے رہیں
turn right	دائیں مڑیں
madam, i don't know	محترمہ، مجھے نہیں معلوم
please turn left	براہ کرم بائیں مڑیں
i am fine	میں ٹھیک ہوں
kindly no problem	مہربانی فرما کر کوئی مسئلہ نہیں
madam, i love biryani	محترمہ، مجھے بریانی پسند ہے
madam, i don't know	محترمہ، مجھے نہیں معلوم
madam, stop here	محترمہ، یہاں روکیں
kindly electricity is gone	مہربانی فرما کر بجلی چلی گئی ہے
sir, where do you live?	جناب، آپ کہاں رہتے ہیں؟
sir, do you speak urdu?	جناب، کیا آپ اردو بولتے ہیں؟
sir, good night	جناب، شب بخیر
please please reduce the price	براہ کرم قیمت کم کریں
sir, can you help?	جناب، کیا آپ مدد کر سکتے ہیں؟
please stop here	براہ کرم یہاں روکیں
madam, excuse me	محترمہ، معاف کیجیے گا
please what time is it?	براہ کرم کیا وقت ہوا ہے؟
how much is this?	یہ کتنے کا ہے؟
excuse me	معاف کیجیے گا
sir, where is the hotel?	جناب، ہوٹل کہاں ہے؟
electricity is gone	بجلی چلی گئی ہے
kindly who are you?	مہربانی فرما کر آپ کون ہیں؟
kindly continue straight	مہربانی فرما کر سیدھے جاتے رہیں
sir, i am busy	جناب، میں مصروف ہوں
madam, karachi traffic is bad	محترمہ، کراچی میں ٹریفک خراب ہے
madam, electricity is gone	محترمہ، بجلی چلی گئی ہے
madam, please reduce the price	محترمہ، قیمت کم کریں
please slow down	براہ کرم آہستہ چلیں
goodbye	اللہ حافظ
sir, call a taxi	جناب، ٹیکسی بلائیں
madam, i am fine	محترمہ، میں ٹھیک ہوں
please how can i go there?	براہ کرم میں وہاں کیسے جا سکتا ہوں؟
go straight	سیدھا جائیں
please good morning	براہ کرم صبح بخیر
islamabad is beautiful	اسلام آباد بہت خوبصورت ہے
madam, please reduce the price	محترمہ، قیمت کم کریں
kindly do you speak urdu?	مہربانی فرما کر کیا آپ اردو بولتے ہیں؟
please good morning	براہ کرم صبح بخیر
please reduce the price	براہ کرم قیمت کم کریں
sir, please speak slowly	جناب، آہستہ بولیں
kindly good night	مہربانی فرما کر شب بخیر
please i don't know	براہ کرم مجھے نہیں معلوم
sir, karachi traffic is bad	جناب، کراچی میں ٹریفک خراب ہے
i am happy	میں خوش ہوں
no	نہیں
direction?	سمت؟
sir, i am tired	جناب، میں تھک گیا ہوں
chai please	چائے چاہیے
madam, can you help?	محترمہ، کیا آپ مدد کر سکتی ہیں؟
sir, do you speak urdu?	جناب، کیا آپ اردو بولتے ہیں؟
please please show me the way	براہ کرم راستہ بتا دیں
sir, take care	جناب، اپنا خیال رکھنا
stop	روکیں
i am tired	میں تھک گیا ہوں
please assalam o alaikum	براہ کرم السلام علیکم
madam, pakistan won the match	محترمہ، پاکستان نے میچ جیت لیا
please assalam o alaikum	براہ کرم السلام علیکم
sir, how are you?	جناب، آپ کیسے ہیں؟
karachi?	کراچی؟
please who are you?	براہ کرم آپ کون ہیں؟
maybe	شاید
who are you?	آپ کون ہیں؟
sir, kindly guide me	جناب، رہنمائی کریں
sir, is there free wifi?	جناب، کیا مفت وائی فائی ہے؟
kindly good evening	مہربانی فرما کر شام بخیر
i like cricket	مجھے کرکٹ پسند ہے
kindly turn left	مہربانی فرما کر بائیں مڑیں
please i am happy	براہ کرم میں خوش ہوں
kindly stop here	مہربانی فرما کر یہاں روکیں
please how much is this?	براہ کرم یہ کتنے کا ہے؟
please thank you very much	براہ کرم بہت شکریہ
please good evening	براہ کرم شام بخیر
kindly where do you live?	مہربانی فرما کر آپ کہاں رہتے ہیں؟
madam, what do you want?	محترمہ، آپ کیا چاہتے ہیں؟
please good night	براہ کرم شب بخیر
please where is the bus stop?	براہ کرم بس اسٹاپ کہاں ہے؟
yes	جی ہاں
help?	مدد؟
no	نہیں
sir, turn right	جناب، دائیں مڑیں
madam, lahore food is amazing	محترمہ، لاہور کا کھانا لاجواب ہے
kindly stop here	مہربانی فرما کر یہاں روکیں
thank you very much	بہت شکریہ
please see you later	براہ کرم پھر ملیں گے
madam, what is this?	محترمہ، یہ کیا ہے؟
kindly that's great	مہربانی فرما کر یہ بہت اچھا ہے
please can you help me?	براہ کرم کیا آپ میری مدد کر سکتے ہیں؟
please good evening	براہ کرم شام بخیر
water?	پانی؟
where is the mosque?	مسجد کہاں ہے؟
kindly is there free wifi?	مہربانی فرما کر کیا مفت وائی فائی ہے؟
madam, what is your name?	محترمہ، آپ کا نام کیا ہے؟
sir, thank you very much	جناب، بہت شکریہ
what is this?	یہ کیا ہے؟
kindly why is it expensive?	مہربانی فرما کر یہ مہنگا کیوں ہے؟
do you speak urdu?	کیا آپ اردو بولتے ہیں؟
please i am tired	براہ کرم میں تھک گیا ہوں
kindly go straight	مہربانی فرما کر سیدھا جائیں
sir, how much is the ticket?	جناب، ٹکٹ کتنے کا ہے؟
madam, how much is the ticket?	محترمہ، ٹکٹ کتنے کا ہے؟
madam, go straight	محترمہ، سیدھا جائیں
madam, call a taxi	محترمہ، ٹیکسی بلائیں
kindly lahore food is amazing	مہربانی فرما کر لاہور کا کھانا لاجواب ہے
please call a taxi	براہ کرم ٹیکسی بلائیں
madam, what is this?	محترمہ، یہ کیا ہے؟
sir, good evening	جناب، شام بخیر
madam, turn right	محترمہ، دائیں مڑیں
turn right	دائیں مڑیں
kindly how much is the ticket?	مہربانی فرما کر ٹکٹ کتنے کا ہے؟
kindly i am happy	مہربانی فرما کر میں خوش ہوں
kindly karachi traffic is bad	مہربانی فرما کر کراچی میں ٹریفک خراب ہے
madam, what time is it?	محترمہ، کیا وقت ہوا ہے؟
wifi?	وائی فائی؟
