sir, good evening	جناب، شام بخیر
madam, this is my budget	محترمہ، یہ میرا بجٹ ہے
please kindly urgent	براہ مہربانی فوری
madam, turn back	محترمہ، واپس مڑیں
near the mall	مال کے قریب
kindly please water?	مہربانی کریں پانی؟
sorry	معاف کیجیے گا
sir, please quickly	جناب، جلدی براہ کرم
please kindly go straight	براہ مہربانی سیدھا جائیں
please kindly market?	براہ مہربانی بازار؟
madam, far from here	محترمہ، یہاں سے دور
kindly please quickly	مہربانی فرما کر جلدی براہ کرم
please closed?	براہ کرم بند؟
please kindly madam, please	براہ مہربانی محترمہ، براہ کرم
kindly turn left	مہربانی فرما کر بائیں
kindly price?	مہربانی فرما کر قیمت؟
please reduce price	براہ کرم قیمت کم
please kindly this is my budget	براہ مہربانی یہ میرا بجٹ ہے
please turn left	براہ کرم بائیں
kindly market?	مہربانی فرما کر بازار؟
kindly please urgent	مہربانی کریں فوری
please kindly help?	براہ مہربانی مدد؟
please kindly follow the signs	براہ مہربانی نشانات کی پیروی کریں
kindly final rate?	مہربانی فرما کر آخری قیمت؟
kindly please sorry	مہربانی کریں معاف کیجیے گا
please kindly i can't pay more	براہ مہربانی میں مزید نہیں دے سکتا
kindly far from here	مہربانی فرما کر یہاں سے دور
please kindly near the mall	براہ مہربانی مال کے قریب
please madam, please	براہ کرم محترمہ، براہ کرم
sir, restaurant nearby?	جناب، قریب کوئی ریستوران؟
sir, price?	جناب، قیمت؟
sir, water?	جناب، پانی؟
stay on this road	اسی سڑک پر رہیں
madam, closed?	محترمہ، بند؟
kindly please price?	مہربانی کریں قیمت؟
kindly please help	مہربانی فرما کر براہ کرم مدد کریں
please sir, please	براہ کرم جناب، براہ کرم
kindly please be fair	مہربانی فرما کر براہ کرم منصف رہیں
sir, please help	جناب، براہ کرم مدد کریں
please kindly turn back	براہ مہربانی واپس مڑیں
madam, please	محترمہ، براہ کرم
please near the mall	براہ کرم مال کے قریب
sir, too expensive	جناب، بہت مہنگا ہے
kindly far	مہربانی فرما کر دور
kindly please near	مہربانی کریں قریب
kindly please far from here	مہربانی کریں یہاں سے دور
madam, stay on this road	محترمہ، اسی سڑک پر رہیں
kindly follow the signs	مہربانی فرما کر نشانات کی پیروی کریں
kindly please help?	مہربانی کریں مدد؟
kindly please final rate?	مہربانی کریں آخری قیمت؟
please kindly reduce price	براہ مہربانی قیمت کم
sir, stay on this road	جناب، اسی سڑک پر رہیں
kindly please turn right	مہربانی کریں دائیں
please help?	براہ کرم مدد؟
please urgent	براہ کرم فوری
madam, please be fair	محترمہ، براہ کرم منصف رہیں
sir, wifi?	جناب، وائی فائی؟
please quickly	جلدی براہ کرم
take a u-turn	یو ٹرن لیں
kindly please welcome	مہربانی کریں خوش آمدید
kindly restaurant nearby?	مہربانی فرما کر قریب کوئی ریستوران؟
please kindly reduce the price please	براہ مہربانی براہ کرم قیمت کم کریں
madam, wait please	محترمہ، انتظار کریں
please what is your best price?	براہ کرم آپ کی بہترین قیمت کیا ہے؟
please kindly sir, please	براہ مہربانی جناب، براہ کرم
kindly kindly wait	مہربانی فرما کر مہربانی فرما کر انتظار کریں
please restaurant nearby?	براہ کرم قریب کوئی ریستوران؟
please straight ahead	براہ کرم سیدھا آگے
kindly water?	مہربانی فرما کر پانی؟
sir, turn left	جناب، بائیں
madam, reduce the price please	محترمہ، براہ کرم قیمت کم کریں
kindly please can you make it cheaper?	مہربانی کریں کیا آپ اسے سستا کر سکتے ہیں؟
kindly final price	مہربانی فرما کر آخری قیمت
kindly wifi?	مہربانی فرما کر وائی فائی؟
please kindly too expensive	براہ مہربانی بہت مہنگا ہے
sir, final rate?	جناب، آخری قیمت؟
madam, second exit	محترمہ، دوسرا نکاس
madam, final price	محترمہ، آخری قیمت
kindly wait	مہربانی فرما کر انتظار کریں
please kindly that's too high	براہ مہربانی یہ بہت زیادہ ہے
please kindly sorry	براہ مہربانی معاف کیجیے گا
sir, final price	جناب، آخری قیمت
kindly please please be fair	مہربانی کریں براہ کرم منصف رہیں
madam, urgent	محترمہ، فوری
kindly please restaurant nearby?	مہربانی کریں قریب کوئی ریستوران؟
sir, urgent	جناب، فوری
kindly too expensive	مہربانی فرما کر بہت مہنگا ہے
please kindly please be fair	براہ مہربانی براہ کرم منصف رہیں
reduce the price please	براہ کرم قیمت کم کریں
direction?	راستہ؟
sir, direction?	جناب، راستہ؟
kindly reduce the price please	مہربانی فرما کر براہ کرم قیمت کم کریں
please turn back	براہ کرم واپس مڑیں
please that's too high	براہ کرم یہ بہت زیادہ ہے
please kindly final price	براہ مہربانی آخری قیمت
madam, sorry	محترمہ، معاف کیجیے گا
kindly near	مہربانی فرما کر قریب
kindly please excuse me	مہربانی کریں معاف کیجیے
sir, help?	جناب، مدد؟
madam, can you make it cheaper?	محترمہ، کیا آپ اسے سستا کر سکتے ہیں؟
please turn right	براہ کرم دائیں
please take a u-turn	براہ کرم یو ٹرن لیں
madam, madam, please	محترمہ، محترمہ، براہ کرم
please kindly stay on this road	براہ مہربانی اسی سڑک پر رہیں
kindly what is your best price?	مہربانی فرما کر آپ کی بہترین قیمت کیا ہے؟
please kindly turn right	براہ مہربانی دائیں مڑیں
turn left	بائیں
reduce price	قیمت کم
kindly urgent	مہربانی فرما کر فوری
sir, sir, please	جناب، جناب، براہ کرم
that's too high	یہ بہت زیادہ ہے
kindly please water?	مہربانی کریں پانی؟؟
kindly open?	مہربانی فرما کر کھلا؟
can you make it cheaper?	کیا آپ اسے سستا کر سکتے ہیں؟
straight ahead	سیدھا آگے
kindly stay on this road	مہربانی فرما کر اسی سڑک پر رہیں
please kindly please help	براہ مہربانی براہ کرم مدد کریں
kindly please take a u-turn	مہربانی کریں یو ٹرن لیں
kindly please market?	مہربانی کریں بازار؟
restaurant nearby?	قریب کوئی ریستوران؟
sir, this is my budget	جناب، یہ میرا بجٹ ہے
please kindly near	براہ مہربانی قریب
please i can't pay more	براہ کرم میں مزید نہیں دے سکتا
madam, please help	محترمہ، براہ کرم مدد کریں
kindly please market?	مہربانی کریں بازار؟؟
sir, far	جناب، دور
please kindly far	براہ مہربانی دور
what is your best price?	آپ کی بہترین قیمت کیا ہے؟
madam, welcome	محترمہ، خوش آمدید
kindly please ticket?	مہربانی کریں ٹکٹ؟
madam, too expensive	محترمہ، بہت مہنگا ہے
kindly please far	مہربانی کریں دور
sir, excuse me	جناب، معاف کیجیے
sir, turn back	جناب، واپس مڑیں
please kindly turn right	براہ مہربانی دائیں
kindly please i appreciate your help	مہربانی کریں میں آپ کی مدد کی قدر کرتا ہوں
please kindly please speak slowly	براہ مہربانی براہ کرم آہستہ بولیں
sir, welcome	جناب، خوش آمدید
kindly please too expensive	مہربانی کریں بہت مہنگا ہے
kindly please go straight	مہربانی کریں سیدھا جائیں
kindly wait please	مہربانی فرما کر انتظار کریں
final rate?	آخری قیمت؟
please this is my budget	براہ کرم یہ میرا بجٹ ہے
i can't pay more	میں مزید نہیں دے سکتا
madam, excuse me	محترمہ، معاف کیجیے
madam, sir, please	محترمہ، جناب، براہ کرم
please kindly open?	براہ مہربانی کھلا؟
kindly please that's too high	مہربانی کریں یہ بہت زیادہ ہے
sir, sorry	جناب، معاف کیجیے گا
please direction?	براہ کرم راستہ؟
madam, give me a discount	محترمہ، مجھے رعایت دیں
kindly please give me a discount	مہربانی کریں مجھے رعایت دیں
kindly please please help	مہربانی کریں براہ کرم مدد کریں
kindly please price?	مہربانی کریں قیمت؟؟
sir, follow the signs	جناب، نشانات کی پیروی کریں
kindly please kindly wait	مہربانی کریں مہربانی فرما کر انتظار کریں
please near	براہ کرم قریب
i appreciate your help	میں آپ کی مدد کی قدر کرتا ہوں
madam, straight ahead	محترمہ، سیدھا آگے
please market?	براہ کرم بازار؟
kindly please reduce price	مہربانی کریں قیمت کم
price?	قیمت؟
kindly please final rate?	مہربانی کریں آخری قیمت؟؟
sir, closed?	جناب، بند؟
turn right	دائیں
sir, second exit	جناب، دوسرا نکاس
please kindly excuse me	براہ مہربانی معاف کیجیے
kindly closed?	مہربانی فرما کر بند؟
madam, wifi?	محترمہ، وائی فائی؟
kindly please closed?	مہربانی کریں بند؟؟
madam, i can't pay more	محترمہ، میں مزید نہیں دے سکتا
madam, far	محترمہ، دور
kindly turn back	مہربانی فرما کر واپس مڑیں
please second exit	براہ کرم دوسرا نکاس
please can you make it cheaper?	براہ کرم کیا آپ اسے سستا کر سکتے ہیں؟
madam, take a u-turn	محترمہ، یو ٹرن لیں
kindly please closed?	مہربانی کریں بند؟
second exit	دوسرا نکاس
kindly help?	مہربانی فرما کر مدد؟
kindly please ticket?	مہربانی کریں ٹکٹ؟؟
please kindly take a u-turn	براہ مہربانی یو ٹرن لیں
kindly please turn back	مہربانی کریں واپس مڑیں
sir, give me a discount	جناب، مجھے رعایت دیں
sir, that's too high	جناب، یہ بہت زیادہ ہے
madam, please quickly	محترمہ، جلدی براہ کرم
sir, please speak slowly	جناب، براہ کرم آہستہ بولیں
please kindly straight ahead	براہ مہربانی سیدھا آگے
kindly please straight ahead	مہربانی کریں سیدھا آگے
madam, final rate?	محترمہ، آخری قیمت؟
kindly reduce price	مہربانی فرما کر قیمت کم
kindly please i can't pay more	مہربانی کریں میں مزید نہیں دے سکتا
please welcome	براہ کرم خوش آمدید
madam, kindly wait	محترمہ، مہربانی فرما کر انتظار کریں
closed?	بند؟
please kindly wait	براہ کرم مہربانی فرما کر انتظار کریں
please follow the signs	براہ کرم نشانات کی پیروی کریں
follow the signs	نشانات کی پیروی کریں
madam, direction?	محترمہ، راستہ؟
kindly sorry	مہربانی فرما کر معاف کیجیے گا
kindly please direction?	مہربانی کریں راستہ؟؟
madam, market?	محترمہ، بازار؟
sir, please	جناب، براہ کرم
madam, that's too high	محترمہ، یہ بہت زیادہ ہے
please give me a discount	براہ کرم مجھے رعایت دیں
sir, reduce price	جناب، قیمت کم
kindly please wifi?	مہربانی کریں وائی فائی؟؟
kindly please wait please	مہربانی کریں انتظار کریں
kindly please stay on this road	مہربانی کریں اسی سڑک پر رہیں
kindly that's too high	مہربانی فرما کر یہ بہت زیادہ ہے
sir, reduce the price please	جناب، براہ کرم قیمت کم کریں
sir, i can't pay more	جناب، میں مزید نہیں دے سکتا
please kindly water?	براہ مہربانی پانی؟
please kindly second exit	براہ مہربانی دوسرا نکاس
sir, near the mall	جناب، مال کے قریب
